Text,English,Sentiment,Author,Title,tokenized_it,tokenized_en,,,,,,,,,,,,,,,,,,,
"Indosso la corazza, l’elmo in testa,
la spada al fianco, e in braccio avea lo scudo;
e più leggier correa per la foresta,
ch’al pallio rosso il villan mezzo ignudo.
Timida pastorella mai sì presta
non volse piede inanzi a serpe crudo,
come Angelica tosto il freno torse,
che del guerrier, ch’a piè venìa, s’accorse.","With shield upon his arm, in knightly wise,
  Belted and mailed, his helmet on his head;
  The knight more lightly through the forest hies
  Than half-clothed churl to win the cloth of red.
  But not from cruel snake more swiftly flies
  The timid shepherdess, with startled tread,
  Than poor Angelica the bridle turns
  When she the approaching knight on foot discerns.",positive,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Era costui quel paladin gagliardo,
figliuol d’Amon, signor di Montalbano,
a cui pur dianzi il suo destrier Baiardo
per strano caso uscito era di mano.
Come alla donna egli drizzò lo sguardo,
riconobbe, quantunque di lontano,
l’angelico sembiante e quel bel volto
ch’all’amorose reti il tenea involto.","This was that Paladin, good Aymon's seed,
  Who Mount Albano had in his command;
  And late Baiardo lost, his gallant steed,
  Escaped by strange adventure from his hand.
  As soon as seen, the maid who rode at speed
  The warrior knew, and, while yet distant, scanned
  The angelic features and the gentle air
  Which long had held him fast in Cupid's snare.",positive,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"La donna il palafreno a dietro volta,
e per la selva a tutta briglia il caccia;
né per la rara più che per la folta,
la più sicura e miglior via procaccia:
ma pallida, tremando, e di sé tolta,
lascia cura al destrier che la via faccia.
Di sù di giù, ne l’alta selva fiera
tanto girò, che venne a una riviera.","The affrighted damsel turns her palfrey round,
  And shakes the floating bridle in the wind;
  Nor in her panic seeks to choose her ground,
  Nor open grove prefers to thicket blind.
  But reckless, pale and trembling, and astound,
  Leaves to her horse the devious way to find.
  He up and down the forest bore the dame,
  Till to a sylvan river's bank he came.",neutral,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Su la riviera Ferraù trovosse
di sudor pieno e tutto polveroso.
Da la battaglia dianzi lo rimosse
un gran disio di bere e di riposo;
e poi, mal grado suo, quivi fermosse,
perché, de l’acqua ingordo e frettoloso,
l’elmo nel fiume si lasciò cadere,
né l’avea potuto anco riavere.","Here stood the fierce Ferrau in grisly plight,
  Begrimed with dust, and bathed with sweat and blood
  Who lately had withdrawn him from the fight,
  To rest and drink at that refreshing flood:
  But there had tarried in his own despite,
  Since bending from the bank, in hasty mood,
  He dropped his helmet in the crystal tide,
  And vainly to regain the treasure tried.",neutral,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Quanto potea più forte, ne veniva
gridando la donzella ispaventata.
A quella voce salta in su la riva
il Saracino, e nel viso la guata;
e la conosce subito ch’arriva,
ben che di timor pallida e turbata,
e sien più dì che non n’udì novella,
che senza dubbio ell’è Angelica bella.","Thither at speed she drives, and evermore
  In her wild panic utters fearful cries;
  And at the voice, upleaping on the shore,
  The Saracen her lovely visage spies.
  And, pale as is her cheek, and troubled sore,
  Arriving, quickly to the warrior's eyes
  (Though many days no news of her had shown)
  The beautiful Angelica is known.",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"E perché era cortese, e n’avea forse
non men de’ dui cugini il petto caldo,
l’aiuto che potea tutto le porse,
pur come avesse l’elmo, ardito e baldo:
trasse la spada, e minacciando corse
dove poco di lui temea Rinaldo.
Più volte s’eran già non pur veduti,
m’al paragon de l’arme conosciuti.","Courteous, and haply gifted with a breast
  As warm as either of the cousins two;
  As bold, as if his brows in steel were dressed,
  The succour which she sought he lent, and drew
  His faulchion, and against Rinaldo pressed,
  Who saw with little fear the champion true.
  Not only each to each was known by sight,
  But each had proved in arms his foeman's might.",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Cominciar quivi una crudel battaglia,
come a piè si trovar, coi brandi ignudi:
non che le piastre e la minuta maglia,
ma ai colpi lor non reggerian gl’incudi.
Or, mentre l’un con l’altro si travaglia,
bisogna al palafren che ’l passo studi;
che quanto può menar de le calcagna,
colei lo caccia al bosco e alla campagna.","Thus, as they are, on foot the warriors vie
  In cruel strife, and blade to blade oppose;
  No marvel plate or brittle mail should fly,
  When anvils had not stood the deafening blows.
  It now behoves the palfrey swift to ply
  His feet; for while the knights in combat close,
  Him vexed to utmost speed, with goading spurs,
  By waste or wood the frighted damsel stirs.",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Poi che s’affaticar gran pezzo invano
i dui guerrier per por l’un l’altro sotto,
quando non meno era con l’arme in mano
questo di quel, né quel di questo dotto;
fu primiero il signor di Montalbano,
ch’al cavallier di Spagna fece motto,
sì come quel ch’ha nel cuor tanto fuoco,
che tutto n’arde e non ritrova loco.","After the two had struggled long to throw
  Each other in the strife, and vainly still;
  Since neither valiant warrior was below
  His opposite in force and knightly skill:
  The first to parley with his Spanish foe
  Was the good master of Albano's hill
  (As one within whose raging breast was pent
  A reckless fire which struggled for a vent).",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Disse al pagan: – Me sol creduto avrai,
e pur avrai te meco ancora offeso:
se questo avvien perché i fulgenti rai
del nuovo sol t’abbino il petto acceso,
di farmi qui tardar che guadagno hai?
che quando ancor tu m’abbi morto o preso,
non però tua la bella donna fia;
che, mentre noi tardiam, se ne va via.","""Thou think'st,"" he said, ""to injure me alone,
  But know thou wilt thyself as much molest:
  For if we fight because yon rising sun
  This raging heat has kindled in thy breast.
  What were thy gain, and what the guerdon won,
  Though I should yield my life, or stoop my crest;
  If she shall never be thy glorious meed,
  Who flies, while vainly we in battle bleed?",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Quanto fia meglio, amandola tu ancora,
che tu le venga a traversar la strada,
a ritenerla e farle far dimora,
prima che più lontana se ne vada!
Come l’avremo in potestate, allora
di chi esser de’ si provi con la spada:
non so altrimenti, dopo un lungo affanno,
che possa riuscirci altro che danno. –","""Then how much better, since our stake's the same,
  Thou, loving like myself, should'st mount and stay
  To wait this battle's end, the lovely dame,
  Before she fly yet further on her way.
  The lady taken, we repeat our claim
  With naked faulchion to that peerless prey:
  Else by long toil I see not what we gain
  But simple loss and unrequited pain.""",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Al pagan la proposta non dispiacque:
così fu differita la tenzone;
e tal tregua tra lor subito nacque,
sì l’odio e l’ira va in oblivione,
che ’l pagano al partir da le fresche acque
non lasciò a piedi il buon figliuol d’Amone:
e dopo il suon, con minacciose grida
lo chiama al campo, ed alla pugna ’l sfida.","The peer's proposal pleased the paynim well.
  And so their hot contention was foregone;
  And such fair truce replaced that discord fell,
  So mutual wrongs forgot and mischief done;
  That for departure seated in his sell,
  On foot the Spaniard left not Aymon's son;
  But him to mount his courser's crupper prayed;
  And both united chased the royal maid.",,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Non stette molto a uscir fuor de la porta
l’incantator, ch’udì ’l suono e la voce.
L’alato corridor per l’aria il porta
contra costei, che sembra uomo feroce.
La donna da principio si conforta;
che vede che colui poco le nuoce:
non porta lancia né spada né mazza,
ch’a forar l’abbia o romper la corazza.","Not long within his gate the enchanter stayed,
  After he heard the voice and bugle ring.
  Against the foe, who seemed a man, arrayed
  In arms, with him the horse is on the wing.
  But his appearance well consoled the maid,
  Who, with small cause for fear, beheld him bring
  Nor mace, nor rested lance, nor bitting sword,
  Wherewith the corselet might be bruised or gored.",neutral,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Da la sinistra sol lo scudo avea,
tutto coperto di seta vermiglia;
ne la man destra un libro, onde facea
nascer, leggendo, l’alta maraviglia:
che la lancia talor correr parea,
e fatto avea a più d’un batter le ciglia;
talor parea ferir con mazza o stocco,
e lontano era, e non avea alcun tocco.","And now the warlike pair at fault, for they
  Knew not by which she might her palfrey goad,
  (Since both, without distinction, there survey
  The recent print of hoofs on either road),
  Commit the chase to fortune.  By this way
  The paynim pricked, by that Rinaldo strode.
  But fierce Ferrau, bewildered in the wood,
  Found himself once again where late he stood.",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Non è finto il destrier, ma naturale,
ch’una giumenta generò d’un Grifo:
simile al padre avea la piuma e l’ale,
li piedi anteriori, il capo e il grifo;
in tutte l’altre membra parea quale
era la madre, e chiamasi ippogrifo;
che nei monti Rifei vengon, ma rari,
molto di là dagli aghiacciati mari.","Beside the water, where he stoop'd to drink,
  And dropt the knightly helmet, -- to his cost,
  Sunk in the stream; and since he could not think
  Her to retrieve, who late his hopes had crossed.
  He, where the treasure fell, descends the brink
  Of that swift stream, and seeks the morion lost.
  But the casque lies so bedded in the sands,
  'Twill ask no light endeavour at his hands",neutral,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Quivi per forza lo tirò d’incanto;
e poi che l’ebbe, ad altro non attese,
e con studio e fatica operò tanto,
ch’a sella e briglia il cavalcò in un mese:
così ch’in terra e in aria e in ogni canto
lo facea volteggiar senza contese.
Non finzion d’incanto, come il resto,
ma vero e natural si vedea questo.","Drawn by enchantment from his distant lair,
  The wizard thought but how to tame the foal;
  And, in a month, instructed him to bear
  Saddle and bit, and gallop to the goal;
  And execute on earth or in mid air,
  All shifts of manege, course and caracole;
  He with such labour wrought.  This only real,
  Where all the rest was hollow and ideal.",neutral,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Del mago ogn’altra cosa era figmento,
che comparir facea pel rosso il giallo;
ma con la donna non fu di momento,
che per l’annel non può vedere in fallo.
Più colpi tuttavia diserra al vento,
e quinci e quindi spinge il suo cavallo;
e si dibatte e si travaglia tutta,
come era, inanzi che venisse, istrutta.","This truth by him with fictions was combined,
  Whose sleight passed red for yellow, black for white:
  But all his vain enchantments could not blind
  The maid, whose virtuous ring assured her sight:
  Yet she her blows discharges at the wind;
  And spurring here and there prolongs the fight.
  So drove or wheeled her steed, and smote at nought,
  And practised all she had before been taught.",neutral,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"E poi che esercitata si fu alquanto
sopra il destrier, smontar volse anco a piede,
per poter meglio al fin venir di quanto
la cauta maga istruzion le diede.
Il mago vien per far l’estremo incanto;
che del fatto ripar né sa né crede:
scuopre lo scudo, e certo si prosume
farla cader con l’incantato lume.","When she sometime had fought upon her horse,
  She from the courser on her feet descends:
  To compass and more freely put in force,
  As by the enchantress schooled, her wily ends.
  The wizard, to display his last resource,
  Unweeting the defence, towards her wends.
  He bares the shield, secure to blind his foe,
  And by the magic light, astonished, throw.",neutral,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Potea così scoprirlo al primo tratto,
senza tenere i cavallieri a bada;
ma gli piacea veder qualche bel tratto
di correr l’asta o di girar la spada:
come si vede ch’all’astuto gatto
scherzar col topo alcuna volta aggrada;
e poi che quel piacer gli viene a noia,
dargli di morso, e al fin voler che muoia.","The shield might have been shown at first, nor he
  Needed to keep the cavaliers at bay;
  But that he loved some master-stroke to see,
  Achieved by lance or sword in single fray.
  As with the captive mouse, in sportive glee,
  The wily cat is sometimes seen to play;
  Till waxing wroth, or weary of her prize,
  She bites, and at a snap the prisoner dies.",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Dico che ’l mago al gatto, e gli altri al topo
s’assimigliar ne le battaglie dianzi;
ma non s’assimigliar già così, dopo
che con l’annel si fe’ la donna inanzi.
Attenta e fissa stava a quel ch’era uopo,
acciò che nulla seco il mago avanzi;
e come vide che lo scudo aperse,
chiuse gli occhi, e lasciò quivi caderse.","To cat and mouse, in battles fought before,
  I liken the magician and his foes;
  But the comparison holds good no more:
  For, with the ring, the maid against him goes;
  Firm and attentive still, and watching sore,
  Lest upon her the wizard should impose:
  And as she sees him bare the wondrous shield,
  Closes her eyes and falls upon the field.",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Non che il fulgor del lucido metallo,
come soleva agli altri, a lei nocesse;
ma così fece acciò che dal cavallo
contra sé il vano incantator scendesse:
né parte andò del suo disegno in fallo;
che tosto ch’ella il capo in terra messe,
accelerando il volator le penne,
con larghe ruote in terra a por si venne.","Not that the shining metal could offend,
  As wont those others, from its cover freed;
  But so the damsel did, to make descend
  The vain enchanter from his wondrous steed.
  Nor was in ought defeated of her end;
  For she no sooner on the grassy mead
  Had laid her head, than wheeling widely round,
  The flying courser pitched upon the ground.",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Lascia all’arcion lo scudo, che già posto
avea ne la coperta, e a piè discende
verso la donna che, come reposto
lupo alla macchia il capriolo, attende.
Senza più indugio ella si leva tosto
che l’ha vicino, e ben stretto lo prende.
Avea lasciato quel misero in terra
il libro che facea tutta la guerra:","Already cased again, the shield was hung,
  By the magician, at his sadle bow.
  He lights and seeks her, who like wolf among
  The bushes, couched in thicket, waits the roe;
  She without more delay from ambush sprung,
  As he drew near, and grappled fast the foe.
  That wretched man, the volume by whose aid
  He all his battles fought, on earth had laid:",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"e con una catena ne correa,
che solea portar cinta a simil uso;
perché non men legar colei credea,
che per adietro altri legare era uso.
La donna in terra posto già l’avea:
se quel non si difese, io ben l’escuso;
che troppo era la cosa differente
tra un debol vecchio e lei tanto possente.","And ran to bind her with a chain, which he,
  Girt round about him for such a purpose, wore;
  Because he deemed she was no less to be
  Mastered and bound than those subdued before.
  Him hath the dame already flung; by me
  Excused with reason, if he strove not more.
  For fearful were the odds between that bold
  And puissant maid, and warrior weak and old!",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Disegnando levargli ella la testa,
alza la man vittoriosa in fretta;
ma poi che ’l viso mira, il colpo arresta,
quasi sdegnando sì bassa vendetta:
un venerabil vecchio in faccia mesta
vede esser quel ch’ella ha giunto alla stretta,
che mostra al viso crespo e al pelo bianco,
età di settanta anni o poco manco.","Intending to behead the fallen foe,
  She lifts her conquering hand; but in mid space,
  When she beholds his visage, stops the blow,
  As if disdaining a revenge so base.
  She sees in him, her prowess has laid low,
  A venerable sire, with sorrowing face;
  Whose hair and wrinkles speak him, to her guess,
  Of years six score and ten, or little less.",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Tommi la vita, giovene, per Dio, 
dicea il vecchio pien d’ira e di dispetto;
ma quella a torla avea sì il cor restio,
come quel di lasciarla avria diletto.
La donna di sapere ebbe disio
chi fosse il negromante, ed a che effetto
edificasse in quel luogo selvaggio
la rocca, e faccia a tutto il mondo oltraggio.","""Kill me, for love of God!"" (afflicted sore,
  The old enchanter full of wrath did cry).
  But the victorious damsel was not more
  Averse to kill, than he was bent to die.
  To know who was the necromancer hoar
  The gentle lady had desire, and why
  The tower he in that savage place designed,
  Doing such outrage foul to all mankind.",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Né per maligna intenzione, ahi lasso!
(disse piangendo il vecchio incantatore)
feci la bella rocca in cima al sasso,
né per avidità son rubatore;
ma per ritrar sol dall’estremo passo
un cavallier gentil, mi mosse amore,
che, come il ciel mi mostra, in tempo breve
morir cristiano a tradimento deve.","""Nor I, by malice moved, alas!  poor wight,""
  (The weeping necromancer answer made,)
  ""Built the fair castle on the rocky height,
  Nor yet for rapine ply the robber's trade;
  But only to redeem a gentle knight
  From danger sore and death, by love was swayed;
  Who, as the skies foreshow, in little season,
  Is doomed to die a Christian, and by treason.",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Non vede il sol tra questo e il polo austrino
un giovene sì bello e sì prestante:
Ruggiero ha nome, il qual da piccolino
da me nutrito fu, ch’io sono Atlante.
Disio d’onore e suo fiero destino
l’han tratto in Francia dietro al re Agramante;
ed io, che l’amai sempre più che figlio,
lo cerco trar di Francia e di periglio.","""The sun beholds not 'twixt the poles, a Child
  So excellent as him, and passing fair;
  Who from his infancy, Rogero styled,
  (Atlantes I) was tutored by my care.
  By love of fame and evil stars beguiled,
  He follows into France Troyano's heir.
  Him, in my eyes, than son esteemed more dear,
  I seek to snatch from France and peril near.",positive,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"La bella rocca solo edificai
per tenervi Ruggier sicuramente,
che preso fu da me, come sperai
che fossi oggi tu preso similmente;
e donne e cavallier, che tu vedrai,
poi ci ho ridotti, ed altra nobil gente,
acciò che quando a voglia sua non esca,
avendo compagnia, men gli rincresca.","""I only built the beauteous keep to be
  Rogero's dungeon, safely harboured there;
  Who whilom was subdued in fight by me,
  As I to-day had hoped thyself to snare,
  And dames and knights, and more of high degree,
  Have to this tower conveyed, his lot to share,
  That with such partners of his prison pent,
  He might the loss of freedom less lament.",positive,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Pur ch’uscir di là su non si domande,
d’ogn’altro gaudio lor cura mi tocca;
che quanto averne da tutte le bande
si può del mondo, è tutto in quella rocca:
suoni, canti, vestir, giuochi, vivande,
quanto può cor pensar, può chieder bocca.
Ben seminato avea, ben cogliea il frutto;
ma tu sei giunto a disturbarmi il tutto.","""Save they should seek to break their dungeon's bound,
  I grant my inmates every other pleasure.
  For whatsoever in the world is found,
  Search its four quarters, in this keep I treasure;
  (Whatever heart can wish or tongue can sound)
  Cates, brave attire, game, sport, or mirthful measure.
  My field well sown, I well had reaped my grain.
  But that thy coming makes my labour vain.",positive,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Deh, se non hai del viso il cor men bello,
non impedir il mio consiglio onesto!
Piglia lo scudo (ch’io tel dono) e quello
destrier che va per l’aria così presto;
e non t’impacciar oltra nel castello,
o tranne uno o duo amici, e lascia il resto;
o tranne tutti gli altri, e più non chero,
se non che tu mi lasci il mio Ruggiero.","""Ah!  then unless thy heart less beauteous be
  Than thy sweet face, mar not my pious care;
  Take my steel buckler, this I give to thee,
  And take that horse, which flies so fast in air,
  Nor meddle with my castle more; or free
  One or two captive friends, the rest forbear --
  Or (for I crave but this) release them all,
  So that Rogero but remain my thrall.",neutral,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"E se disposto sei volermel torre,
deh, prima almen che tu ’l rimeni in Francia,
piacciati questa afflitta anima sciorre
de la sua scorza ormai pntrida e rancia! 
Rispose la donzella:  Lui vo’ porre
in libertà: tu, se sai, gracchia e ciancia;
né mi offerir di dar lo scudo in dono,
o quel destrier, che miei, non più tuoi sono:","""Or if disposed to take him from my sight,
  Before the youth be into France conveyed,
  Be pleased to free my miserable sprite
  From its now rotted bark, long decayed.""
  ""Prate as thou wilt, I shall restore the knight
  To liberty,""  replied the martial maid,
  ""Nor offer shield and courser to resign,
  Which are not in thy gift, -- already mine.",neutral,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"né s’anco stesse a te di torre e darli,
mi parrebbe che ’l cambio convenisse.
Tu di’ che Ruggier tieni per vietarli
il male influsso di sue stelle fisse.
O che non puoi saperlo, o non schivarli,
sappiendol, ciò che ’l ciel di lui prescrisse:
ma se ’l mal tuo, c’hai sì vicin, non vedi,
peggio l’altrui c’ha da venir prevedi.","""Nor were they thine to take or to bestow,
  Would it appear that such exchange were wise;
  Thou sayest to save him from what stars foreshow,
  And cheat an evil influence of the skies
  Rogero is confined.  Thou canst not know,
  Or knowing, canst not change his destinies:
  For, if unknown an ill so near to thee,
  Far less mayest thou another's fate foresee.",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Non pregar ch’io t’uccida, ch’i tuoi preghi
sariano indarno; e se pur vuoi la morte,
ancor che tutto il mondo dar la nieghi,
da sé la può aver sempre animo forte.
Ma pria che l’alma da la carne sleghi,
a tutti i tuoi prigioni apri le porte. 
Così dice la donna, e tuttavia
il mago preso incontra al sasso invia.","""Seek not thy death from me; for the petition
  Is made in vain; but if for death thou sigh,
  Though the whole world refused the requisition,
  A soul resolved would find the means to die.
  But ope thy gates to give thy guests dismission
  Before thine hand the knot of life untie.""
  So spake the scornful dame with angry mock,
  Speeding her captive still towards the rock.",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Legato de la sua propria catena
andava Atlante, e la donzella appresso,
che così ancor se ne fidava a pena,
ben che in vista parea tutto rimesso.
Non molti passi dietro se la mena,
ch’a piè del monte han ritrovato il fesso,
e li scaglioni onde si monta in giro,
fin ch’alla porta del castel saliro.","Round by the conqueror with the chain he bore,
  Atlantes walked, the damsel following nigh,
  Who trusted not to the magician hoar,
  Although he seemed subdued in port and eye.
  Nor many paces went the pair, before
  They at the mountain's foot the cleft espy,
  With steps by which the rugged hill to round;
  And climb, till to the castle-gate they wound:",neutral,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
